Pos,Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global
575,Inside My Radio,,Platform,,0.0,0.0,0.0,0.0,0.0
576,Kaiju Panic,,Strategy,,0.0,0.0,0.0,0.0,0.0
577,Tembo the Badass Elephant,,Platform,,0.0,0.0,0.0,0.0,0.0
578,Assassin's Creed Chronicles: Russia,,Action,,0.0,0.0,0.0,0.0,0.0
579,Assassin's Creed Chronicles: India,,Action,,0.0,0.0,0.0,0.0,0.0
580,Overlord: Fellowship of Evil,,Action,,0.0,0.0,0.0,0.0,0.0
581,R.B.I. Baseball 15,2015.0,Sports,MLB.com,0.0,0.0,0.0,0.0,0.0
582,The Walking Dead: Michonne,,Adventure,,0.0,0.0,0.0,0.0,0.0
583,Unravel,,Platform,,0.0,0.0,0.0,0.0,0.0
584,Tachyon Project,,Action,,0.0,0.0,0.0,0.0,0.0
585,Cross Reverie,2017.0,Role-Playing,Sinxsoft,0.0,0.0,0.0,0.0,0.0
586,Goosebumps: The Game,,Adventure,,0.0,0.0,0.0,0.0,0.0
587,The Escapists: The Walking Dead,2015.0,Action,Team17 Software,0.0,0.0,0.0,0.0,0.0
588,Woodcutter Simulator 2016,2015.0,Action,Namco Bandai Games,0.0,0.0,0.0,0.0,0.0
589,Professional Farmer 2016,2015.0,Action,Namco Bandai Games,0.0,0.0,0.0,0.0,0.0
590,Professional Lumberjack 2016,2015.0,Simulation,Namco Bandai Games,0.0,0.0,0.0,0.0,0.0
591,Alekhine's Gun,2016.0,Action,Maximum Games,0.0,0.0,0.0,0.0,0.0
592,World to the West,2017.0,Action-Adventure,Soedesco,0.0,0.0,0.0,0.0,0.0
593,The Binding of Isaac: Rebirth,,Action,,0.0,0.0,0.0,0.0,0.0
594,Super Dungeon Bros,2016.0,Action,Wired Productions,0.0,0.0,0.0,0.0,0.0
595,Pro Cycling Manager 2016,2016.0,Sports,Focus Home Interactive,0.0,0.0,0.0,0.0,0.0
596,De-formers,,Action,,0.0,0.0,0.0,0.0,0.0
597,Wonder Boy: The Dragon's Trap (Remake),,Platform,,0.0,0.0,0.0,0.0,0.0
598,Rock of Ages II: Bigger and Boulder,,Action,,0.0,0.0,0.0,0.0,0.0
599,Fe,,Action,,0.0,0.0,0.0,0.0,0.0
600,We Sing (2016),2016.0,Music,THQ Nordic,0.0,0.0,0.0,0.0,0.0
601,Don Bradman Cricket 17,2016.0,Sports,Tru Blu Entertainment,0.0,0.0,0.0,0.0,0.0
602,Ace Combat 7: Skies Unknown,2019.0,Shooter,Bandai Namco Games,0.0,0.0,0.0,0.0,0.0
603,The Sexy Brutale,,Adventure,,0.0,0.0,0.0,0.0,0.0
604,Metro Exodus,2019.0,Shooter,Deep Silver,0.0,0.0,0.0,0.0,0.0
605,Anthem,2019.0,Role-Playing,Electronic Arts,0.0,0.0,0.0,0.0,0.0
606,AereA,2017.0,Role-Playing,Soedesco,0.0,0.0,0.0,0.0,0.0
607,Moons Of Madness,2018.0,Role-Playing,Unknown,0.0,0.0,0.0,0.0,0.0
608,Iron Harvest,2018.0,Strategy,Unknown,0.0,0.0,0.0,0.0,0.0
609,Biomutant,2018.0,Action,THQ Nordic,0.0,0.0,0.0,0.0,0.0
610,Biomutant,2019.0,Action,THQ Nordic,0.0,0.0,0.0,0.0,0.0
611,de Blob,2017.0,Platform,THQ Nordic,0.0,0.0,0.0,0.0,0.0
612,Outcast: Second Contact,2017.0,Adventure,Bigben Interactive,0.0,0.0,0.0,0.0,0.0
613,Code Vein,2019.0,Action,Bandai Namco Entertainment,0.0,0.0,0.0,0.0,0.0
